house_id,rooms,bathrooms,area_m2,description,image_url,location_id,seller_id
264,3.0,3.0,600.0,Villa a vendre a la somone sur un terrain de 600m carré 3chambres 3 salles de bains cuisine africaine 1piscine 1garage le tout a 400m et la plage,,14,115
265,4.0,4.0,500.0,"Nous offrons des villas R+ 1 de 500m2 composée de 04 chambres, un grand salon, une piscine et un parking plus une cours avant et arrière entièrement meublée.",,20,53
266,,,,Complexe hôtelier de type R+5 neuf à vendre à Yoff. En face de la mer. Tout équipé et meublé avec 6 appartements grand standing. Immeuble avec ascenseur et poste de gardiennage. Rapport locatif mensuel très intéressant. Plus 6 millions par mois.,,62,41
267,,,215.0,"Opportunité !! Maison R+1 de 215m2 à vendre dans un quartier très calme, situé à la cité socabeg non loin de la route nationale 1 (Edk sicap mbao). La Maison est composée de 3 appartements et 4 studios avec une valeur locative très intéressante.",,2,116
268,3.0,1.0,150.0,"Avec probat immobilier,vous avez le plein droit de rêver immobilier. Dites seulement""PROBAT"" à votre réveil pour le réaliser. Des villas titre foncier moins chères ? En voici une;dans la cité SOCABEG de la commune de tivaouane peul-gnague. Avec un décret étatique(titre foncier de l'état),la cité est encore appelée:zone de recasement ;avec gendarmerie,poste de santé et autres confort de base. Nous vous y proposons une villa 2chambres-salon-cuisine-toilette-2grandes cours avant et arrière. Villa pouvant supporter un R+2. À vos chéquiers - prêts-signez.NB: prix fixe: 16.000.000f",,38,10
269,3.0,1.0,150.0,"Nous vous proposons une villa commerciale de titre foncier individuel dans la cité SOCABEG de tivaouane peul. La Villa est située en bordure de la principale et grande route de la cité,à un jet de pierres de la gendarmerie SOCABEG. Elle est composée de :2chambres -1salon-1cuisine-1espace familiale-1wc douche-2cours dont une grande arrière. Villa très récente(construite fin 2013-debut 2014). Titre foncier spécial cité SOCABEG). Svp: prix non négociable",,3,10
270,3.0,4.0,1.5,"Villa de 250m2 sans compter le garage, studio gardien de 50m2 , la villa totalement meublée, climatisation, cuisine américaine, dressing, jardin avec arrosage automatique, parking pavé, portail motorisé, portillon commandé pour visiophone, piscine pompe photovoltaïque. Éclairage solaire. Forage et SDE avec réserve d'eau 6000l. Le terrain 1500m2",,77,12
271,3.0,2.0,600.0,"Yenn Todd villa neuve a vendre sur terrain de 600m2, 280m2 habitables A 300 m de la mer, villa de 3 chambres, terrasse couverte en rdc, jardin de 300 m2, garage couvert. Maison meublée Séjour/salon Cuisine équipée 3 chambres 2 salles d'eau 3 WC indépendants Terrasse avec case Garage couvert Réserves d'eau Équipement solaire (chauffe eau et électricité) Tout les équipements sont neufs Prix négociable WhatsApp : ±33787798876",,78,117
272,14.0,10.0,211.0,"Villa a Vendre 211m2 Papier Bail individuel Angle Commercial composé de 5 Appartement et 4 Magasins Nord-Foire sur la route de la vdn prolongée. vous aurez au rdc : 1 studio d'une chambre sdb cusine plus 1 appartement de 3chambres salon et 2sdb au premier étage un appartement de 3 chambres salon, toilette visiteur 1 sdb et un appartement de 4 chambres salon, 2sdb plus 1 toilette visiteur, sur la terrasse un studio d'une chambre salon sdb et toilette visiteur et une chambre et sdb pour plus de détails nous contacter.",,13,81
273,,,,La surface est de 1800 mètres carrés rdc 4 chambres dont 2 avec salle de bain intégrées. 1 Salon _ 1 salle à manger - 1 grande cuisine- 1 buanderie et 1 local technique (batteries régulateurs de tension et onduleurs)_ toilettes visiteurs A l'étage il y a une suite parentale 1 constituée d'une grande chambre avec mezzanine' petite cuisine et 1 une terrasse Il y a aussi un studio indépendant qui compte 2 chambres 1 pièce à vivre une salle de bain et 1 wc.. Prix à débattre... Me contacter si vous êtes décidé.,,4,118
274,5.0,3.0,249.0,"Bonjour Nous vendons sur la Cité Tobago Vdn. Le bien à vendre consiste en une villa meublée R+2 à la cité Tobago équipée en systéme solaire composée de :AU RDC: un garage ouvert, une cour avant, un salon, 01 chambre avec sa douche, toilette visiteur, 01 cuisine équipée, jardin, 01 cuisine africaine, 01 toilette domestique, 01 buanderie, 01 magasin de stockage pour les batteries du système solaire.Au 1er étage: 01 chambre principale avec son dressing et salle de bain, balcon terrasse, 02 chambres enfants avec balcon , 01 toiletteAu 2e étage: 01 grande pièce avec salle de bain, terrasse, 01 chambre",,47,119
275,6.0,6.0,150.0,"Maison de rêve au style européen en vente à Ngor-Almadies. Une maison neuve jamais habitée aux architectures modernes et de décoration intérieure de dernière génération à Ngor-Almadies. Zone très calme et résidentielle. La villa R+2 Comprend: RDC: A l'entrée il y a un jardin , un très grand salon avec une vue exceptionnelle sur la piscine, une cuisine américaine équipée, une salle à manger, une toilette visiteur, une chambre visiteur et un garage. -1ere Etage: une suite parentale, un dressing, une salle de bains et 2chambres et 2 toilettes.",,10,42
276,6.0,6.0,360.0,Dieupeul Derklé,,50,120
277,,,,Villa R+2 tournant autours de 200 m2 à vendre sur Grand Dakar,,61,84
278,4.0,4.0,300.0,"Belle Villa stylé sur Saly de 4 chambres dont chacune avec Sdb, grand salon séjour , une cuisine américaine avec bar. Cour arrière avec piscine bien aménagé , garage ouvert. Situé dans Saly a 100m de la route goudronnée , très accessible et très calme. Vendu meublé ou sans meuble.",,7,121
279,4.0,,,Belle villa moderne piscine jardin à vendre à somone: 03chambres+salon+cuisine+piscine+jardin Page Facebook :Habitat square Immobilier,,37,19
280,6.0,,225.0,"Très belle villa à vendres, à nord foire à côté du Auchan R+1 - T F Au Rdc , 3 chambres,salon ,cuisine ,3 toilettes plus garage . A l Etage 1 appartement de 2 chambres, salon, cuisine ,2 toilettes et 1 autre appartement d'une chambre, salon,cuisine,toilette.",,13,77
281,,,150.0,Je vend une maison de 150 M2.(fondation pour R+4. RDC en face de finition élévation première étape) zone almadie2 a côté de Station Shell almadie2,,9,122
282,,,,A VENDRE UNE PETITE VILLA A LA LIBERTÈ 3 DE TROIS CHAMBRES,,79,54
283,1.0,1.0,300.0,"Votre agence immobilière TCGI met en vente un immeuble R+2 bien placé de plus de 300m2 triple façade aux parcelles assainies U22. Situé à l’angle et en bordure de route, il est aussi idéal pour projet immobilier. Papier: permis d’occupation",,63,123
284,3.0,3.0,300.0,"Somone, Villa R+1, Superficie 400 m2 avec 3 chambres SALON CUISINE PISCINE GARAGE JARDIN SITUÉE a 300 m de la ROUTE principale..DELIBERATION,Accessible,Calme,Residentiel,Plus D'informations,Nous Contacter",,37,42
285,4.0,4.0,,"SALY, Velingara, Très belle villa à vendre de 300m2 tres propre jamais habité, Composé de piscine 04 chambres, Salon Cuisine, Toilette publique, Papier délibération, NB : les meubles font partis de la vente Accessible,Calme,Résidentiel,Ideal Pour Investissement, Plus D'informations Complementaires,Nous Contacter",,37,42
286,7.0,8.0,1.311,"Somone Villa Jumelle de 1311m2 ( deux villas coller) comprenant deux maisons avec piscines plus un Studio indépendant sur un terrain de 1311m2 Très bien situé sur la route principale, villa très sympa sur la route à la Somone face mer et face a la maison d'un.grand responsable hotelier La première villa se compose d'un très grand salon donnant sur la terrasse et la piscine, avec 4 chambres et salle de d'eau. La seconde se compose d'un grand salon et de 3 chambres avec salle d'eau. D'un étage et balcon vue sur mer. Accessible, calme,Résidentiel, Plus.D'informations Complementaires.Nous Contacter",,37,42
287,5.0,4.0,176.0,"SICAP FOIRE UNE VILLA R+1, SURFACE 176M2 TITRE FONCIER INDIVIDUEL, REZ DE CHAUSSÉE, 1SALON, 2CHAMBRES PLUS SALLE D'EAU, UNE CUISINE AFRICAINE, UNE CUISINE EUROPÉENNE, DEUX COURS ARRIÈRE PLUS TOILETTE NIVEAU 1, UN GRAND SALON 3CHAMBRES, 3SALLES DE BAIN 2BALCONS, TERRASSE UNE CUISINE, BUANDERIE,.CASE PLUS SALLE DE JEUX,ACCESSIBLE, CALME,ZONE.AVEC CANALISATION,RESIDENTIEL, PLUS D'INFORMATIONS COMPLEMENTAIRES NOUS CONTACTER",,66,42
288,15.0,15.0,206.0,"Almadie,Derriere Philip.Morris, Zone.de Recasement1 Socabeg, Immeuble R+2 Avec Fondation R+5,Ascenseur,Parking Extérieur,Canalisation Externe, Composé d'appartements Total 8 Appartemens En F4,F3,F2 Titre Foncier, Situe en.3eme Position de l'axe Commercial de la Cite, Zone Habite, Proche des Commodités, Prix Negociable, Possibilite d'extension de l'Immeuble, Valeur locatif interressante,apres finition,Plus D'informations Complementaires,Nous Contacter",,36,42
289,4.0,4.0,1.066,"Luxueuse Villa de Saly compose de 3 chambres sdb au Rez de chaussée et une suite parentale avec jacuzzi en résidence calme et sécurisée à proximité de toutes les commodités. Terrain de 1066m2 surface bâtie de 400m2 , grande terrasse et piscine , réservoir d’eau .Vendu avec tous les meubles et objet d'art.",,80,121
290,3.0,2.0,192.0,"Villa Mbao cité la sidak, 192m2, salon, 3 chambres, 2 salle de bain, cuisine, garage, espaces famille TF.",,2,104
291,3.0,3.0,150.0,Maison de rêve au style européen en vente à Ngor-Almadies.,,36,124
292,6.0,6.0,200.0,Mamelles:,,22,120
293,5.0,4.0,200.0,"Vue imprenable sur le bolong, ponton, piscine, terrain arboré 2 chambres Rez de chaussée, 1 chambre mezzanine 2 chambres indépendantes 1 maison gardien 1 hangar bateau",,81,125
294,6.0,5.0,,"Grande villa basse a vendre a la zone A , sa superficie est de 306m2 idéal pour les progrès immobilier, titre foncier",,56,24
295,6.0,5.0,203.0,"Une belle villa R + 2 située à nord foire composé au rez de chaussée 2 salons, cuisine et salle de bain cours avant et cours arrière. Au premier étage nous avons 4 chambres dont 3 avec salle de bains. Au deuxième étage nous avons une grande chambre avec salle de bain, salon et une cuisine. Nous avons aussi une belle terrasse avec une belle vue. La villa est accessible et bien située très calme et sécurisant.",,62,126
296,6.0,4.0,535.0,"Grande villa à saly, proche de saly centre avec toutes les commodités aux alentours. Maison d’angle 535 m2",,7,127
297,5.0,3.0,248.0,Villa à vendre 248 m2 sur cambérène Cité Fayçal.,,23,128
298,,2.0,,"Dans superbe résidence sécurisée, villa entièrement meublée, composée d'un salon salle à manger, une cuisine équipée, 2 chambres avec chacune une salle d'eau, une mezzanine avec 4 lits, 3wc, 1 garage, 1 débarras, une terrasse, l'ensemble sur terrain d'environ 400 mètres carrés. Très grande piscine collective à 20 mètres. Groupe électrogène collectif. Curieux ou pas sérieux s‘abstenir Me contacter de préférence uniquement par mail svp",,82,129
299,4.0,3.0,250.0,"Belle villa F5 composée de 4 chambres 3 salles de bain, salon, cuisine, cours spatio ,une toilette visiteur à vendre située à la cité CDC Bambilor à 30 mn du centre de Dakar par le péage sortie 10",,11,9
300,5.0,2.0,165.0,"Villa basse composée de 5 chambres avec séjour, cuisine. A 200 m de la route principale de Nabil Choucair menant à la Marie de Patte D'oie. Elle fait 165 m².",,39,130
301,,,396.0,Immeuble R + 2 angle à vendre avenue Blaise Diagne 396 mètres carrés titre foncier,,63,13
302,,,333.0,"Villa située à 500 m du Rond-point de Liberté 5. A quelques encablures du Terminus des Bus et Minibus, dans un secteur calme et sécurisé: elle convient pour tout investisseur averti.",,72,131
303,50.0,50.0,333.0,"Virage Imeuble R+6 compose d'appartements Standing F4, Parking ,Ascenseur,Gardiennage,Avec Un Bon Valeur Locatif,A Vendre,Plus D'informations,nous contacter",,51,42
304,40.0,40.0,378.0,"Cite Keur Gorgui Immeuble R+6 compose d'appartements Standing F4, F3,F2, Parking Sousterrain,Ascenseur,Gardiennage,Avec Un Bon Valeur Locatif,A Vendre,Plus D'informations,nous contacter.",,25,42
305,5.0,4.0,176.0,"Sicap Foire, Villa R+1 compose de 176m, avec 5 chambres, salon, cuisine, 4 toilettes, garage, cours interieurs, Accessible,Calme, Résidentiel, Infos Complementaires,nous contacter",,66,42
306,4.0,3.0,178.0,"Ndiakhirate ( Cite Assy En Bordure de Route du Goudron) Villa R+1, composée de 4 chambres salon salle à manger avec 01 toilette visiteurs et 02 salles de bain avec titre foncier plan béton armé étude de sol réalisée, concut sur 178m2, Zone Calme,Accessible et Proche des Commodités comme Aéroport Aidb et Lac Rose, Infos Complementaires,Nous Contacter",,69,42
307,,,150.0,"NGOR ALMADIE Immeuble R+5 neuf de 150 m2 angle à Ngor Almadies, derriere le stade de Ngor avec apport locatif estimatif",,36,132
308,,,260.0,CITÉ BIAGUI Trés belle villa construite sur une surface de 260m2 à vendre. Maison d’angle très bien placée a la cité Biagui à côté du virage Aéroport,,83,132
309,,,150.0,Immeuble de 150 m2 à vendre à Sud Foire à prix cadeau. Trés bon investissement.,,84,133
310,,,250.0,"Villa de type F5 à vendre à la cité CDC de bambilor c’est une spacieuse demeure de 250m2 de superficie bâtie sur deux niveaux reliés par un escalier moderne. Cette maison est grande lumineuse aérée et bien distribuée dotée d’un jardin,d’un garage, d’un patio , d’un espace familial, la F5 est le fleuron du projet Immobillier cdc bambilor elle offr un niveau de confort et de qualité qui na rien à envier à celui des villas des quartiers résidences MODALITÉS DE PAYEMENT F5 250m2 en R+1: A: au comptant à 54.900.000/ht B: par crédit direct à 54.900.000/ht apport 15% à 30% et le reliquat sur 12 a 36 mois C: par location vente a 59.900.000/ht apport 50% du prix de la vente et le reliquat sur force de location vente sur 8ans possibilité d’étaler les 50% sur 2ans D: par vefa sous forme d’appel de fond suivant l’état de l’avancement des travaux",,3,134
311,,,600.0,La « Résidence ALWAR PRESTIGE » située à Bambilor sur la route des niaye accessible a l’autoroute à péage sortie 10 ou par le prolongement de la VDN il s’agit d’un projet de villas haut standing de 249 m² à 600 m² construites en R+1 dans une résidence fermée avec toutes les commodités .,,11,134
312,,,150.0,Des villas F3 150 m² à Bambilor.,,11,135
313,3.0,2.0,160.0,"Belle villa R+1 de 160 m2 de 02 chambres, salon, cuisine, 2 salles de bain, cour, à vendre à Hlm Keur Massar.",,3,136
314,5.0,2.0,2.3,"Villa R+1 de 2300m2 à vendre de 5 chambres, 2 salons, cuisine, 2 salles de bain, 2 salles, cours, terrasse. Villa trés bien accessible. Adresse : Ouest Foire à la cité Sonatel",,31,136
315,4.0,2.0,170.0,"Situation descriptive : Belle maison bâtie sur une surface de 170m2 est composée de 2 chambres en bas avec salle d’eau, 2 chambres à la terrasse avec 1 salle d’eau, salon, cuisine, jardin arboré, garage avec porte électrique, barbecue et un studio indépendant",,27,137
316,7.0,2.0,200.0,"Villa 200m² R+2 située sur prolongement HLM 6, vers rond point Colobane: Réez de Chaussée: salon de 30m², une cuisine, un séjour de 15 m², un garage, cours avant cours arrière, au 1er: grande chambre parent 30m² avec salle de bains , une salle d'eau, 2 autres chambres, une salle d'eau, 01 bureau une véranda, un autre séjour, au 2eme: terrasse + 2 autres chambres + toilettes extérieures, à 2km du centre ville, à 300m de la mosquée Massalikoul Djinane.",,85,138
317,7.0,6.0,150.0,"La maison est composée de Réez de Chaussée une chambre avec salle de bain un salon une salle de bains pour visiteurs une cuisine un espace familial un salon de coiffure un garage. Au 1er étage une chambre à coucher pour parents avec une salle de bain une chambre pour enfants une salle de bain pour visiteurs un salon un espace familial , au 2ème étage une chambre à coucher pour parents avec une salle de bain une chambre pour enfants un salon une salle de bains pour visiteurs un espace familial sur la terrasse une chambre à coucher et une cuisine.",,23,138
318,8.0,6.0,192.0,"La maison est composée de: Réez de chaussée: chambre parent avec salle de bain, 2 chambres, 1 toilettes, cuisine, espace familiale et cour intérieur. Au 1er étage: chambre parent avec salle de bain, 2 chambres, 1 toilettes, cuisine, espace familiale et cour intérieur. Au 2ème étage: 2 chambres 2 toilettes 1 grande cuisine et salle á manger espace familiale, terrasse buanderie.",,43,138
319,,,,"Vente des villa en construction F3 et F4 en crédit direct à la cité CDC de bambilor F3 (2 chambre salon,cuisine , toilettes parking garage) parking n Rez de chaussée) a 18.900.000/ht Apport:30% et le reliquat sur 2ans ou 3ans F4 (3chambre salon cuisine des 2 toilettes parking garage en Rez de chaussée) à 21.900.000/ht Apport: 30% et le reliquat sur 2ans ou 3ans Possibilité de rajouter un étage sur le fondement Il est difficile de croire qu’on peut acquérir , à 30mn de dakar par l’autoroute et 10mn de lac rose une villa qu’on va vous remettre bien construite dans une belle cité disposant de toute les commodité.",,11,139
320,5.0,4.0,160.0,"A vendre une belle villa presque neuve a keur massar 2ème position sur la route des 2voix qui vs mène vers le péage sortie 9 du sediment Rez de chaussé composé de salon une chambre salle de bain ,cuisine, toilette, un grand patio et un garage Au 1er étage composé de 3 chambres salle de bains et un salon Chambre parent Le solaire occupe 90% du courant de la maison Vidéo de la maison disponible",,3,72
321,2.0,,,"Physalis vous reviens avec ses villas de type F3 et F4 toujours dans la citée CDC Bambilor. La villa de F3 constitue 2 chambre, salon et 1 salle de bain, garage sur une superficie global de 150 m² . l' avantage avec cette villa et que vous pouvez la modifier à votre convenance une fois que vous en êtes propriétaire. Pour un cout de 18900000 HT. Il est difficile de croire qu'on peut acquérir à 30mn de Dakar par l'autoroute , une villa clé en main dans une belle cité disposant de toutes les commodités tout en bénéficiant d'un environnement paisible et aéré. Pour toutes autres informations contactez moi si vous le souhaitez",,9,9
322,22.0,,,"Je met en vente cette maison qui se situe à keur mbaye fall compose 2 appartement avec chacun 1 chambre avec salle de bain et un autre chambre , cuisine et magasin.",,17,140
323,3.0,3.0,175.0,"Villa neuve de 175m² habitables bénéficiant d'un séjour-salon lumineux et aéré grâce à ses patios, grande cuisine américaine, 3 chambres avec salle d'eau, piscine, parking. Quartier calme à 650m de l'Océan. Sur un terrain de 300m². Possibilité d'extension (fondations prévues pour accueillir un étage).",,37,141
324,6.0,,,"En plein centre ville de Dakar,sur la rue Moussé Diop x William Ponty,nous vous proposons une maison à demolir titre foncier individuel d'une superficie de 353m² idéal pour de grands projets,vendu à vil prix(un million trois cent mille francs) le mètre carré. Qui dit mieux? Préparez alors vos chéquiers,et avisez votre notaire. Vous avez demandé,nous avons trouvé pour vous. Probat immobilier, l'immobilier autrement",,76,10
325,,,,"vente f3 et f4 à la cité CDC Bambilor. Des villas F3 et F4 150 m² TF à Bambilor avec la possibilité de donner un acompte de 50% le reste sur location vente sur 4 ans Possibilité encore de payer un acompte de 30% aussi le reste sur 4 ans F3= 02 chambres, salon, 1 salle de bain et garage. Prix: 18 900 000 fcfa/ ht F4 = 03 chambres, salon, deux toilettes, un garage et jardin. Prix 21 900 000 fcfa/HT. Il est difficile de croire qu'on peut acquérir, à 30 mn de Dakar par l'autoroute, une villa clé en main dans une belle cité disposant de toutes les commodités.",,11,134
326,,,,"Particulier vend villa 3 pièces, titre Foncie.150 m2. Cité COMICO Yeumbeul dans quartier résidentiel calme et sécurisé. Excellent rapport qualité/ prix. Établissement scolaire à moins de 100m.",,17,142
327,,,1.0,Immeuble de R +5 à la cité mbakiyou faye au bord de la route goudronnée à vendre.,,22,67
328,,4.0,300.0,À vendre 1 maison de 300 m2 titres foncier non loin des 2 voies de liberté 6 r+2 sans vis a vis derrière camp le clerc de liberté 6 Rez-de-chaussée 2 chambres salon 2 toilettes cour avant et derrière garage cuisine 1er Étage 5 chambres 1ch avec salle de bain et toilettes visiteur,,14,67
329,,,,Ref_6161,,20,44
330,,,173.0,Immeuble de 173 m2 à vendre à HLM Las Palmas Guediawaye. Occasion à ne pas rater.,,48,133
331,4.0,,,"Belle villa spacieuse et lumineuse RC: 3 chambre(s) avec SDE , vestiaire et WC indépendant. Grand séjour avec cuisine US donnant sur une vaste terrasse couverte; Cellier. WC invité. Piscine et pool house. Garage de 130 M2 (stationnement 4 véhicules). Logement gardien tout confort Etage : immense suite parentale donnant sur sur une terrasse de 250 M2. Deux puits (dont un foré à 35M). Energie solaire complétée par SENELEC",,20,143
332,6.0,,,"Vous avez un bien immobilier ? Nous vous le valorisons. Nous avons de potentiels acheteurs en attente d'opportunités immobilières. Nous confier vos bien immobiliers à vendre, c'est savoir les valoriser. À nos nombreux clients qui nous demandent sans cesse des occasions immobilières pour investir, voici, nous vous proposons cette maison d'angle R+1 de 300m² et de nature juridique Bail global, conçue pour location. Le bien se trouve à la Sicap diamaguéne forail, à à peine 100m de la nationales N1. En voici les caractéristiques : au RDC: Nous avons:10chambres individuelles avec 2 WC douches extérieurs. En haut: 6chambres dont 3 avec sdb+ 1grand salon et 1wc douche extérieur. Avec probat immobilier, vous investissez là où il est sûr de gagner beaucoup beaucoup d'argent.",,17,10
333,4.0,4.0,677.0,"Vente d’une grande villa r+1 de 677 m2, sise à fenêtre mermoz. Le rez-de-chaussée comprend 4 chambres, deux salons, un séjour, 3 salles de bain et une cuisine intérieure et extérieure. A l'étage, il y'a 3 pièces une salle d'eau et un séjour. Titre foncier individuel. Tous les papiers sont en règle. Direct avec le propriétaire.",,29,144
334,3.0,,136.0,"Villa r+1 titre foncier batie sur 136m2 de 03 chambres, salon, cuisine, salle de bain, salle d'eau, cours, à vendre aux Allées du centenaire –Gibraltar.",,86,136
335,6.0,6.0,257.0,La Maison se trouve au Almadie 257metres carré avec Piscine on a un grand salon de 80 metres carré 6 grandes chambres chaque chambres avec salles de bains intérieurs salon 2 cuisines 3 roulettes visiteurs un très terrasse au niveau 3 ieme étage prix 600 millions cash Dernier prix 550millions,,36,72
336,8.0,3.0,420.0,Grande Maison R+2 420m2 batrain 8 chambres; 3 Salons 3 cuisines ; 8 toilettes. Très spacieux avec suppresseur et panneau solaire Bail en cours a 160 millionsCOURTIERS S’ABSTENIR.,,43,145
337,6.0,,301.0,"A VENDRE Villa d'angle R+1 Titre foncier de 301m², double façade à Sacré coeur. RDC: 2 chambres, cuisine, Espace familial, réserve. 1ER ETAGE : 4 chambres, Terrasse, salle de réunion, extension de 2 pièces.",,46,77
338,8.0,5.0,400.0,"Venez vite visité cette ravissante Villa R+2 de 400m2 à l'angle avec: 8 chambres 3 salles de bains 2 toilettes visiteurs, 1garage, 2 grands salons, 2 grandes cuisines, Des balcons, 1 espaces vérandas et terrasse. Pour plus d'informations contactez moi au",,62,108
339,,,174.0,Immeuble TF de 174 m2 trés bien placé à vendre à Bene Tally ( Zone A1 ) Dakar.,,87,133
340,4.0,,,A vendre une villa de 225m2 r+1 a nord foire ya 4 appartement de 2chambres salon apport locatif 600mil f cfa par mois titre foncier individuel,,62,72
341,6.0,2.0,150.0,"A vendre une belle villa r+1 toute neuve a niakhirate ds une citée fermée et résidentiel tous les allées sont bitumées et tres accessible à la sortie 10 du péage . La cité est composée des espaces de jeux pour les enfants club haousse :salle de conférence de réception mosquée, espace piscine pour la cité sn city Titre foncier individuel C est composée au rez de chaussée 2chambres salon et au 1et étage 3chambres salon D autre vidéo du villa disponible sur watssap",,9,72
342,7.0,4.0,250.0,Des projets de villa a bambilor avec possibilité d étaler les payement sur 2 ans ou 3 ans . La villa f5 est une spacieuse demeure de 250m2 de superficie r+1 bâtie sur 2 niveaux reliés par un escalier moderne. Cette maison est grande lumineuse aérée et bien distribué .Dotée d un jardin d un garage d un patio d un espace familial la f5 est le fleuron du projet immobilier CDC bambilor. Elle offre un niveau de confort et de qualité qui n à rien à envier à celui des villas des quartiers les plus résidentiel de Dakar N hésiter pas a venir visiter le site,,9,72
343,7.0,7.0,300.0,"Projet des villas alwar de grand standing sous forme de locations vente avec un apport de 20% du montant. Les villas Alwar vous offre un intérieur de haut standing de type F6 et une spacieuse demeure de 300m2 de superficie. Des villas f6 de 300m2 à 600m2 .villa avec piscine a partir de 400m2 .Une résidence fermée et sécurisée. Grâce au divers aménagements commodités et space communs,vs aurez accès à tous les services de proximité , un centre commercial,un plateau médical et une pharmacie un lieu de culte, des aires de jeux un salle de sport, un terrain polyvalent une piscine collective, un club haousse,un service permanent de sécurité, et bien plus encore. De jours comme de nuit la circulation piétonne ds la residence alwar prestige sera un parcours agréable à suivre. Des voix dégagées et favorable au bien-être des résidents y sont aménagées afin de garantir un épanouissement et une sécurité acrue",,11,72
344,,,180.0,Villa a démolir a zone B sa superficie est 180m2 titre foncier située à quelques mètres du point e et idéal pour un projet immobilier,,56,24
345,3.0,3.0,600.0,VILLA de 600 m2 / surface habitable 250 m2 NGAPAROU avec 3 chambres sdbs CUISINE SALON PISCINE GARAGE JARDIN/ DELIBERATION prix 135 MILLIONS,,20,72
346,,,777.0,Somptueuse villa moderne et très fonctionnelle à vendre à Ngaparou! Villa plein pied de 223 m² sur un terrain de 777m²:,,20,146
347,3.0,,300.0,"Belle villa R+1 à vendre, située à Saly Niakh Niakhal, juste derrière l'hôtel Grazia Maria, Pas loin de la mer Capacité : 3 chambres Superficie : 300m2 Papier : Acte Administratif Possibilité de construire une piscine Transactions devant notaire, Me Marie Bah",,7,56
348,,,150.0,"A vendre Résidence africa logis avec 5 niveaux et 15 studios, 1 grande cuisine et buanderie et 1 magasin et conciergerie exploitable avec les équipements et aussi 1 licence d’exploitation touristique, parking voies principales PRIX hors équipement. Surface 150 m2 tf à proximite de l’autoroute sur Ouest foire. en face ecobank et passerelle.",,31,67
349,4.0,3.0,160.0,MAHIALA Villas R+1 à vendre sur ALMADIES 2 à partir de 64 900 000FCFA Payable sur 2 ans,,9,147
350,3.0,3.0,170.0,"La belle Villa à Vendre est située à Mbao dans la cité Siprès non loin de la plage,",,2,148
351,4.0,4.0,900.0,OFFRE DE PRESTIGE A NGAPAROU VILLA D1 SUPERFICIE DE 900 M2,,37,72
352,3.0,,600.0,"Villa a somone de 600 mètres carrés à vendre. Composée de 3 chambres, salles de bain et salon. Une très belle piscine vous y attend et un dépannage domestique. Très belle opportunité à ne pas rater.",,37,149
353,6.0,,,A vendre une très belle villa se luxe sur la corniche almadie une belle vue sur mer..... surface ..1750m2 tf .... composé d'un grand jardin avec une grande piscine parking ouvert pour 8voitures et fermé pour 4 voitures ..r+2 de 6chambres 5sdbs et 3toilettes visiteurs cour arrière 2 grand salons +espace familiale grande cuisine avec débarras toute la villa est vitrée. Bon pour habitation ou ambassade,,10,72
354,5.0,4.0,200.0,SICAP FOIRE UNE VILLA R+1,,66,72
355,6.0,4.0,433.0,"VILLA A VENDRE AUX MAMELLES PAS LOIN DE LA MAISONS DE CHEIK AMAR, SURFACE 433M2 PAPIER TITRE FONCIER INDIVIDUELLE COMPOSÉE DE 6 CHAMBRES, SALON, CUISINE, TOILETTE, GARAGE ET UN ESPASSE POUR PISCINE. PHOTOS DISPONIBLE SUR WHATSAPP. POUR PLUS D'INFORMATIONS CONTACTEZ MOI.",,22,150
356,6.0,4.0,1.5,"VILLA A VENDRE A LA CORNICHE DES ALMADIE SURFACE 1500M2 TRÈS PROPRE AVEC PISCINE À L'INTÉRIEUR PAPIER TITRE FONCIER INDIVIDUELLE PRIX NON DISCUTABLE, IDÉAL POUR TOUT VOS PROJETS IMMOBILIERS PHOTOS DISPONIBLE SUR WHATSAPP. POUR PLUS D'INFORMATIONS CONTACTEZ MOI.",,36,150
357,,,250.0,"La villa f5 est une spacieuse demeure de 250m2 de superficie, batie sur deux niveau reliés par un escalier moderne. Cette maison est grande, lumineuse, aérée et bien distribuée Dotée d'un jardin d'un garage d'un patio d'un espace familial, la f5 est le fleuron du projet immobilier CDC bambilor. Elle offre un niveau de confort et de qualité qui n'a rien à envier à celui des villas des quartiers les plus résidentiels de Dakar. Le prix 54 900 000 avc possibilité de donner un apport de 30% le reliquat payable en 36 mensualités Location vente sur 10 ans à 59 900 000 donner un apport de 50% le reliquat en 08ans",,11,64
358,,,1.2,"A vendre une villa r+1 de 1200m2 angle à fann residence sur la corniche, 2ème position sur mer.",,24,72
359,5.0,4.0,160.0,Villa r+2 à vendre aux almadies 2 de 150m2 bail individuel demande de tf en cours RDC : salon Chambre sdb garage toilette visiteur garage 1er étage 3chambres avec leur salle de bain 2ème étage :1 salon Chambre salle de bain +terrasse,,2,72
360,9.0,,465.0,"A vendre une villa basse de 465m² bail avec 17 mètre de façade à golf sud face à la cite douane. Elle est composée de 9 chambres ( 4 avec toilette) 3 salons, 3 cuisine, cour entrée et cour centrale Prix: 89 250 000F ( Prix fixe non négociable)",,48,72
361,,,,Maison à vendre à thies/thies noone en première position au bordure de la route Surface :500m3 Titre: bail,,27,151
